accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_acc,prec_at_rec_0.2,prec_at_rec_0.4,prec_at_rec_0.6,alpha,threshold_oracle,oracle_f1_at_best_th,kind,seed
0.6972972972972973,0.15548780487804878,0.4636363636363636,0.2328767123287671,0.6131181818181819,0.1345367374417319,0.5933181818181819,0.16393442622950818,0.16393442622950818,0.1407563025210084,0.1,0.15,0.2328767123287671,ood_oracle_analysis_only,43
0.6612612612612613,0.15,0.5181818181818182,0.23265306122448978,0.611009090909091,0.13370702770430923,0.5975909090909091,0.16544117647058823,0.16544117647058823,0.13814432989690723,0.15000000000000002,0.125,0.23265306122448978,ood_oracle_analysis_only,43
0.7,0.15479876160990713,0.45454545454545453,0.23094688221709006,0.6090272727272726,0.13251011371744018,0.5907727272727272,0.1647940074906367,0.1647940074906367,0.13552361396303902,0.2,0.15,0.23094688221709006,ood_oracle_analysis_only,43
0.7054054054054054,0.15772870662460567,0.45454545454545453,0.234192037470726,0.6069909090909091,0.13159828352233754,0.5937727272727272,0.1624548736462094,0.1624548736462094,0.13441955193482688,0.25,0.15,0.234192037470726,ood_oracle_analysis_only,43
0.6738738738738739,0.14606741573033707,0.4727272727272727,0.22317596566523606,0.6042181818181819,0.13035880172365621,0.5843636363636363,0.1602787456445993,0.1602787456445993,0.132,0.30000000000000004,0.125,0.22317596566523606,ood_oracle_analysis_only,43
0.7054054054054054,0.1488673139158576,0.41818181818181815,0.21957040572792363,0.6021090909090909,0.1292959954062978,0.577590909090909,0.1554054054054054,0.1554054054054054,0.13152804642166344,0.35000000000000003,0.15,0.21957040572792363,ood_oracle_analysis_only,43
0.6882882882882883,0.14242424242424243,0.42727272727272725,0.21363636363636362,0.599418181818182,0.12799822839569366,0.5721363636363637,0.1523809523809524,0.1513157894736842,0.13214990138067062,0.4,0.125,0.21363636363636362,ood_oracle_analysis_only,43
0.6990990990990991,0.14779874213836477,0.42727272727272725,0.21962616822429906,0.5977272727272729,0.1270946736716186,0.5781363636363637,0.1498371335504886,0.1498371335504886,0.13203883495145632,0.45,0.125,0.21962616822429906,ood_oracle_analysis_only,43
0.6684684684684684,0.13966480446927373,0.45454545454545453,0.21367521367521367,0.595290909090909,0.125396407818075,0.5732727272727273,0.152317880794702,0.1465798045602606,0.13102119460500963,0.5,0.1,0.21367521367521367,ood_oracle_analysis_only,43
0.545045045045045,0.128060263653484,0.6181818181818182,0.2121684867394696,0.5931818181818181,0.12399614078032442,0.577590909090909,0.15,0.14285714285714285,0.13060428849902533,0.55,0.05,0.2121684867394696,ood_oracle_analysis_only,43
